ID_system,ID_star,Component,Name,RA_J2016,DE_J2016,Koenigstuhl,Karmn,SpT,SpTnum,SpT_ref,Discoverer,WDS_name,WDS_disc,WDS_comp,Teff,e_Teff,logg,e_logg,Lbol,Lberr,Mass_Lbol,Mass_MG,Mass_A,Mass_B,Mass_C,ra_A,ra_B,ra_C,dec_A,dec_B,dec_C,pmra_A,pmra_B,pmra_C,pmdec_A,pmdec_B,pmdec_C,d_A,d_B,d_C,rho_AB,rho_AC,theta_AB,theta_AC,muratio_AB,muratio_AC,deltaPA_AB,deltaPA_AC,deltad_AB,deltad_AC,s_AB,s_AC,Ug_AB,Ug_AC,Porb_AB,Porb_AC,gaia_id,ra,ra_error,dec,dec_error,parallax,parallax_error,d_pc,ed_pc,parallax_ref,pm,pmra,pmra_error,pmdec,pmdec_error,pm_ref,ruwe,phot_g_mean_mag,phot_g_mean_mag_error,phot_bp_mean_mag,phot_bp_mean_mag_error,phot_rp_mean_mag,phot_rp_mean_mag_error,phot_bp_rp_excess_factor,radial_velocity,radial_velocity_error,radial_velocity_ref,2MASS_id,RAJ2000,DEJ2000,Jmag,Hmag,Kmag,e_Jmag,e_Hmag,e_Kmag,Qfl,AllWISE,W1mag,W2mag,W3mag,W4mag,e_W1mag,e_W2mag,e_W3mag,e_W4mag,qph
16,35,AaAbAc,HD 149162,16:32:51.23,+03:14:42.7,,,K0 Ve + k6 V + m5 V,60.0,Joh86 + Cif20,Hor12,16329+0315,DSG 7,Aabc,,,,,,,,0.8943660549011687,1.7393660549011691,0.362821141875645,0.0985475315632014,248.21345880210202,248.260021936629,248.26122330825,3.2452074162819398,3.1928626764008796,3.1915549812263397,-373.82867424785286,-369.146871107295,-369.411707551095,-183.100953313215,-186.158374331282,-189.68889249920602,45.25494157232679,45.187384530311796,45.4301803252604,252.032414425943,258.419845000219,138.3890016506009,138.3662394385381,0.013433133553380446,0.019054396665407293,0.6659415615159524,1.0844332483036963,0.0014928102803320716,0.0038722567491008934,11405.712189178503,11694.774986614659,-1.2104624046916456E35,,958960.0445390975,,4433380077474648192,248.21345880210202,0.40270427,3.2452074162819398,0.28454342,22.097034384671396,0.5227828,45.25494157232679,1.07066426458698,GaiaE3,416.26175,-373.82867424785286,0.5075061,-183.100953313215,0.48325112,GaiaE3,28.569544,8.585478,0.00277,9.046499,0.00283,7.944064,0.0038200000000000005,1.2342452,-64.14244000000001,7.278564,Gaia2,16325161+0314456,248.21505200000001,3.246006,7.159,6.7,6.561,0.024,0.055,0.018000000000000002,AAA,J163251.37+031443.8,6.49,6.447,6.446000000000001,6.374,0.08199999999999999,0.027000000000000003,0.016,0.062,AAAA
16,36,B,G 17-23,16:33:02.41,+03:11:34.3,,J16330+031,M3.0 V,73.0,AF15,Lep01,16329+0315,LEP 79,AB,3300.0,50.0,5.0,0.25,0.016696764,1.976156E-4,0.3628211418756446,0.35024623641773456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4433378806164302464,248.260021936629,0.012930612,3.1928626764008796,0.008368109,22.130070381241,0.01646219,45.187384530311796,0.03361414116295,GaiaE3,413.43,-369.146871107295,0.016875524,-186.158374331282,0.014195791999999999,GaiaE3,1.1452476999999999,13.387210000000001,0.00278,14.813503,0.00305,12.218272,0.0038299999999999996,1.4303033,,,,16330278+0311372,248.26160699999997,3.193668,10.625,10.011000000000001,9.775,0.026000000000000002,0.023,0.021,AAA,J163302.54+031135.3,9.641,9.506,9.367,8.476,0.022000000000000002,0.021,0.036000000000000004,0.358,AAAC
16,37,C,LSPM J1633+0311S,16:33:02.69,+03:11:29.6,,,D:,,Mon18,This work,16329+0315,DAM 649,C,,,,,,,,0.0985475315632014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4433378806161595904,248.26122330825,0.090301365,3.1915549812263397,0.058535643,22.0117990472508,0.114290565,45.4301803252604,0.23588444389666502,GaiaE3,415.26724,-369.411707551095,0.12977429999999998,-189.68889249920602,0.10767927,GaiaE3,0.9969109,17.79365,0.00298,18.221204999999998,0.01695,17.301712,0.02137,1.1513520000000002,,,,16330306+0311325,248.262762,3.1923630000000003,16.314,15.918,13.15,0.27899999999999997,0.35200000000000004,,DDU,,,,,,,,,,
17,38,Aab,G 125-15,19:31:12.38,+36:07:28.2,,J19312+361AB,M4.5 V + M5,74.5,AF15 + Shk10,,,,A,,,,,,,,0.4004634122517814,0.5954634123,0.28024897147982203,,292.801592957687,292.79815279829603,,36.1244881033105,36.1368979540748,,-129.778038448075,-130.266202717022,,-106.444418983705,-105.10157755864599,,40.0829484415432,40.0539874686331,,45.781557181968296,,347.38079949136556,,0.008512614432438639,,0.461391717425577,,7.225260125845123E-4,,1835.059796098397,,-1.604179533324956E35,,101872.27200679305,,2051425982875376896,292.801592957687,0.016531575,36.1244881033105,0.019132003,24.948264508495306,0.022058425,40.0829484415432,0.0354400087298888,GaiaE3,167.84741,-129.778038448075,0.021895925,-106.444418983705,0.026215421000000003,GaiaE3,1.358463,12.684928,0.0029100000000000003,14.38998,0.00591,11.424456,0.00446,1.4948201,-22.31,1.24,Shk10,19311257+3607300,292.80239500000005,36.125027,9.609,9.061,8.839,0.022000000000000002,0.02,0.019,AAA,J193112.44+360728.7,8.667,8.437999999999999,8.353,8.027999999999999,0.022000000000000002,0.018000000000000002,0.02,0.151,AAAB
17,39,B,G 125-14,19:31:11.56,+36:08:12.8,,,M4.5 V,74.5,Cab10,Gic61,19312+3607,GIC 158,B,3200.0,50.0,4.0,0.25,0.009392456,9.42172E-5,0.2802489714798222,0.2680418824606434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2051426227695505536,292.79815279829603,0.011591065,36.1368979540748,0.013630225,24.9663033120764,0.015195328000000001,40.0539874686331,0.0243781976725152,GaiaE3,167.3787,-130.266202717022,0.015390694,-105.10157755864599,0.018178819,GaiaE3,1.2031916,13.912002,0.00279,15.550204999999998,0.0034799999999999996,12.680487,0.0038399999999999997,1.4690264,,,,19311174+3608147,292.798957,36.137432000000004,10.924000000000001,10.408,10.137,0.022000000000000002,0.02,0.017,AAA,J193111.62+360813.4,10.005,9.807,9.73,8.681000000000001,0.023,0.02,0.038,,AAAU
18,40,Aab,LP 395-8 A,20:19:49.36,+22:56:38.1,,J20198+229,M3.0 V + m0 V,73.0,Lep13 + Cif20,Lep13,,,Aab,,,,,,,,0.513133765227594,0.969,0.305496403357681,0.0774158338293228,304.955667962031,304.955622524891,304.953027764286,22.9439216572186,22.9444526933747,22.9457810299187,83.56472437403521,63.6126227723693,88.08606089598742,106.536259013708,122.154914153919,112.33816171131001,29.5007067572861,29.502012083980397,29.465533936697106,1.91765543963038,11.018893100475099,355.4947620872758,307.4079261774325,0.18713715463654454,0.05432499750881864,10.601452566065038,0.009331795654416762,4.424730244723535E-5,0.0011922704387516546,56.5721907860504,325.0651341469989,-9.230621937325034E36,-4.070870291887601E35,432.265733732005,5953.904981184548,1829571684890816384,304.955667962031,0.016279768,22.9439216572186,0.01570422,33.8974929728766,0.025925463,29.5007067572861,0.0225627152462823,GaiaE3,135.39955,83.56472437403521,0.019041022,106.536259013708,0.01969087,GaiaE3,1.4843875,11.0225115,0.00293,12.26463,0.006509999999999999,9.847702,0.00759,1.4730453000000001,,,,20194925+2256367,304.955228,22.943539,8.166,7.52,7.2829999999999995,0.021,0.033,0.018000000000000002,AAA,J201949.32+225637.8,7.026,6.982,6.893,6.857,0.044000000000000004,0.019,0.017,0.098,AAAA
18,41,B,LP 395-8 B,20:19:49.35,+22:56:40.0,,,m3.5 V,73.5,Cif20,Kna15,20198+2257,KPP 4191,B,,,,,,,,0.30549640335768125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1829571684890816512,304.955622524891,0.036406152000000004,22.9444526933747,0.031106701,33.8959931666153,0.053346682,29.502012083980397,0.0464312831687243,GaiaE3,137.72576999999998,63.6126227723693,0.040708635,122.154914153919,0.03931257,GaiaE3,1.6385020000000001,12.874841,0.0028399999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,42,C,Gaia DR2 1829571684884360832,20:19:48.73,+22:56:44.8,,,m9: V,79.0,Cif20,This work,,,,,,,,,,,0.0690802035579754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1829571684884360832,304.953027764286,0.2134024,22.9457810299187,0.20053698,33.9379561947993,0.34179783,29.465533936697106,0.29675492246930796,GaiaE3,142.7551,88.08606089598742,0.25243258,112.33816171131001,0.25585207,GaiaE3,1.0464046,19.444101,0.00391,21.650103,0.23255,17.856106,0.01806,1.9123026,,,,20194861+2256426,304.952566,22.945180999999998,13.82,13.169,12.873,0.111,0.122,0.07200000000000001,BBA,,,,,,,,,,
19,43,A,HD 212168,22:25:51.39,-75:00:56.3,5A,,G0 V,40.0,Gra06,,,,A,5900.0,50.0,2.5,0.25,1.588957,0.028559865,1.114531347740326,1.131863890319,1.11453134774033,0.720273875453732,0.0935427034487635,336.464132457645,336.486195986411,336.68607825863603,-75.01563081404821,-75.0145567368793,-75.0617623826722,57.3852939576841,33.3303137868757,58.739380640156895,12.8353437667007,-3.78508163345361,11.779124547360402,23.4071871611028,23.4235933891328,23.4539234130613,20.8982776089343,264.82117663746897,79.34813941172499,128.94480559073534,0.49722352442908463,0.029204336846821083,19.086716577150856,1.268570082159282,7.009055772947977E-4,0.0019966624625518477,489.1698953370091,6198.718845776701,-2.894904970348407E36,-2.9669098411566234E34,10248.295533203767,462290.4971200106,6357835694518769408,336.464132457645,0.016309217,-75.01563081404821,0.01834429,42.72192096886221,0.019622486,23.4071871611028,0.0107510896502731,GaiaE3,58.803215,57.3852939576841,0.02074802,12.8353437667007,0.02288148,GaiaE3,1.0173064,5.9771047,0.00277,6.2762847,0.0029,5.5083547,0.00387,1.1987549,14.513281,0.13926691,Gaia2,22255115-7500565,336.463139,-75.015709,5.2620000000000005,4.768,4.705,0.276,0.021,0.016,DEE,J222551.45-750056.1,4.49,4.288,4.632,4.552,0.34,0.135,0.023,0.03,BBAA
19,44,BaBb,CPD-75 1748B,22:25:56.69,-75:00:52.4,5B,,k3 V+,63.0,Pec13,Dun29 + Tok79,22259-7501,DUN  + TOK 434,AB + Bab,,,,,,,,0.7202738754537323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6357835488360338560,336.486195986411,0.20829268,-75.0145567368793,0.21553640000000002,42.6919979094217,0.24791378,23.4235933891328,0.13602154648755302,GaiaE3,33.544548,33.3303137868757,0.29625785,-3.78508163345361,0.29670525,GaiaE3,16.763857,8.3805275,0.00281,9.066047,0.0029,7.564875,0.00381,1.2779325000000001,17.860056,0.5895302,Gaia2,22255641-7500527,336.485059,-75.014664,6.559,5.937,5.809,0.028999999999999998,0.021,0.023,AAA,J222556.38-750052.6,5.292999999999999,5.402,5.528,5.432,0.188,0.064,0.015,0.035,BAAA
19,45,C,DENIS J222644.3-750342,22:26:44.66,-75:03:42.3,5C,,M8,78.0,Rei08,Cab12b,22259-7501,KO 5,AC,2400.0,38.0,5.0,0.25,7.05805E-4,1.1194000000000003E-5,0.09354270344876348,0.08890262884192968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6357834388848708224,336.68607825863603,0.06422614,-75.0617623826722,0.07068556,42.63678969136169,0.077921085,23.4539234130613,0.0428633387523289,GaiaE3,59.908787,58.739380640156895,0.08375613,11.779124547360402,0.09233484,GaiaE3,1.1887303999999999,16.7983,0.00313,20.28171,0.06955,15.238532999999999,0.00425,1.7999063999999998,17.0,2.0,Bur15,22264440-7503425,336.685025,-75.061813,12.353,11.696,11.245999999999999,0.023,0.027000000000000003,0.023,AAA,J222644.57-750342.4,10.972999999999999,10.718,10.277000000000001,9.187999999999999,0.023,0.02,0.062,,AAAU
20,46,A,SLW J2305+0613 A,23:05:51.69,+06:13:34.6,,,M1.7,72.0,Dhi10,,,,A,3500.0,50.0,5.5,0.25,0.05172289,0.0022388345,0.5248391397388317,0.5101006072026415,0.524839139738832,0.3864841238352461,0.31226033677513104,346.46539164916,346.398524624561,346.441986399937,6.2262719513028,6.21559387828563,6.231689690097281,43.58382005269011,42.1575280604296,42.7806394475303,-5.2906615014481115,-9.78387678686037,-6.30849549770158,216.93270931361,129.152526147649,212.18989963655,242.371651546944,86.0022156501772,260.8777594194486,283.10902985846593,0.10737481985217019,0.029532016378260518,6.144546973516912,1.4671667673150812,0.40464245084894535,0.02186304542116572,,18656.69364796629,,-1.549574428346949E34,,3517605.367034489,2663581869069215232,346.46539164916,0.038720887,6.2262719513028,0.028903412000000003,4.60972438487524,0.040530216,216.93270931361,1.90734387391878,GaiaE3,43.903763,43.58382005269011,0.04410331,-5.2906615014481115,0.03315471,GaiaE3,1.0808761999999998,15.383119,0.00282,16.52161,0.00615,14.314762,0.0041600000000000005,1.3801806,,,,23055164+0613346,346.4652,6.226287999999999,12.913,12.32,12.093,0.025,0.026000000000000002,0.027000000000000003,AAA,J230551.67+061334.6,11.950999999999999,11.856,11.555,8.776,0.023,0.022000000000000002,0.242,,AABU
20,47,B,SLW J2305+0613 B,23:05:35.65,+06:12:56.1,,,M3.2,73.0,Dhi10,Dhi10,23059+0614,SLW 1300,AB,3300.0,50.0,4.5,0.25,0.019633716000000002,0.0017845876999999998,0.386484123835246,0.2527718114819075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2663581594191285632,346.398524624561,0.08098165,6.21559387828563,0.058275547000000004,7.742783124944731,0.08366659,129.152526147649,1.39559009703462,GaiaE3,43.277954,42.1575280604296,0.092154,-9.78387678686037,0.064399645,GaiaE3,1.0863486999999998,16.617231,0.003,18.145826,0.0359,15.431916000000001,0.00606,1.4315468,,,,23053560+0612562,346.398371,6.215624,13.825999999999999,13.232999999999999,12.96,0.026000000000000002,0.03,0.034,AAA,J230535.62+061256.1,12.808,12.645999999999999,12.174000000000001,8.713,0.024,0.026000000000000002,,,AAUU
20,48,C,SLW J2305+0613 C,23:05:46.08,+06:13:54.1,,,M3.7,74.0,Dhi10,Dhi10,23059+0614,SLW 1299,BC,3200.0,50.0,4.0,0.25,0.011780948000000001,0.0011027277,0.312260336775131,0.2896204996163405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2663582036572505472,346.441986399937,0.09502376,6.231689690097281,0.07245176,4.7127596634564295,0.10107714,212.18989963655,4.550953098342268,GaiaE3,43.243266999999996,42.7806394475303,0.11710989,-6.30849549770158,0.08421597,GaiaE3,0.9367045,17.313517,0.0030399999999999997,18.896282,0.0292,16.087598999999997,0.006940000000000001,1.4706988,,,,23054603+0613541,346.441804,6.231705000000001,14.397,13.811,13.434000000000001,0.034,0.037000000000000005,0.039,AAA,J230546.06+061354.1,13.415,13.234000000000002,11.915,8.603,0.026000000000000002,0.03,,,AAUU
21,49,A,HD 221356,23:31:31.69,-04:05:17.7,3A,,F7 V,37.0,Hou99,,,,A,6000.0,50.0,2.5,0.25,1.3736535,0.014762431000000001,1.079311270167064,1.094544597171618,1.07931127016706,0.0855948157308024,0.0791935474495391,352.882055259355,352.75756500889,352.879751091622,-4.08825556776875,-4.10626302307298,-4.090844364049819,178.130075644736,176.336645033624,169.942592064043,-191.845176338768,-189.379567073017,-194.588765905528,25.8322603666382,25.9654878672033,25.944379887380094,451.6956219075489,12.462476808515902,261.7440370363996,221.59818491142263,0.011646176282737331,0.03298400556579082,0.08046673497915208,1.7449132607572466,0.0051574077790405995,0.004340290750812329,11668.318911586368,321.933945730773,-2.664128260871383E34,-4.68353553214923E35,1204769.3416160848,5560.130758281946,2633449134434620288,352.882055259355,0.021193568,-4.08825556776875,0.01587865,38.7112852614121,0.023811044,25.8322603666382,0.0158892448043468,GaiaE3,261.79172,178.130075644736,0.028434431,-191.845176338768,0.016991992,GaiaE3,0.95663774,6.3626,0.00277,6.633222999999999,0.00298,5.9221262999999995,0.00389,1.1967641000000002,-12.465452,0.17929095,Gaia2,23313149-0405143,352.881212,-4.087308,5.4879999999999995,5.263999999999999,5.15,0.019,0.038,0.017,AAA,J233131.61-040516.6,5.087,4.931,5.16,5.129,0.184,0.078,0.016,0.032,BAAA
21,50,BC,2MASSW J2331016-040618,23:31:01.82,-04:06:22.5,3BC,,M8.0 V + L3.0 V,78.0,Clo02 + Cab07b,Cab07b,23315-0405,KO 3 + CLO 4,BC,,,,,,,,0.161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2633426216489127296,352.75756500889,0.13451704,-4.10626302307298,0.116438165,38.512659770321,0.15689956,25.9654878672033,0.105782712641651,GaiaE3,258.76482999999996,176.336645033624,0.17089409,-189.379567073017,0.12501718,GaiaE3,1.1475218999999999,17.203163,0.00366,20.374579999999998,0.12164000000000001,15.632026999999999,0.00526,1.8283068999999998,,,,23310161-0406193,352.756735,-4.105385,12.937999999999999,12.294,11.954,0.024,0.026000000000000002,0.03,AAA,J233101.74-040621.5,11.640999999999998,11.388,11.139000000000001,9.022,0.023,0.021,0.152,,AABU
21,51,D,2MASS J23313095-0405234,23:31:31.14,-04:05:27.0,3D,,L1,81.0,Gau12,Gau12,23315-0405,GZA 1,AD,,,,,,,,0.0791935474495391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2633449095780158720,352.879751091622,0.32909355,-4.090844364049819,0.30685443,38.5439931245541,0.35954255,25.944379887380094,0.24201199062935103,GaiaE3,258.35107,169.942592064043,0.40502512,-194.588765905528,0.30136028,GaiaE3,1.1982542,18.526903,0.01258,18.694937,0.11955999999999999,16.68222,0.03281,2.9231277,,,,23313095-0405234,352.878963,-4.089859,12.198,11.892999999999999,12.485999999999999,,,0.132,UUB,,,,,,,,,,
22,52,A,StKM 2-1787,23:53:35.58,+12:06:20.4,,,K4 V,64.0,Ste86,,,,A,4000.0,50.0,4.5,0.25,0.11035281,9.152035E-4,0.6297908889474566,0.6212380382906089,0.629790888947457,0.5380941268115382,,358.398266448063,358.398689724191,,12.105672886391199,12.1041202111364,,40.2652799921193,44.1219300428421,,-113.773177925982,-110.988988922354,,37.2583018397418,37.324654257374895,,5.78479165543971,,165.07480934688314,,0.03941250792218546,,2.1902203479379203,,0.0017808760559860743,,215.53151357839235,,-2.773626186609333E36,,3987.27494510293,,2766669467950452480,358.398266448063,0.014657041,12.105672886391199,0.012109315,26.839655878608603,0.01969605,37.2583018397418,0.0273416834876606,GaiaE3,120.68815,40.2652799921193,0.022622176,-113.773177925982,0.013565509,GaiaE3,1.1832498,10.426145,0.00277,11.23917,0.0028899999999999998,9.542011,0.0038,1.2932819,-21.684647000000002,0.48866513,Gaia2,23533553+1206223,358.398075,12.106205000000001,8.402999999999999,7.757000000000001,7.603,0.019,0.027000000000000003,0.034,AAA,J235335.54+120621.0,6.678999999999999,5.859,6.438,6.841,0.021,0.015,0.016,0.098,AAAA
22,53,B,TYC 1174-955-2,23:53:35.69,+12:06:14.8,,J23535+121,M2.5 V,72.5,Lep13,Vys56,23536+1207,VYS 11,B,3500.0,50.0,4.5,0.25,0.07026523,8.792317E-4,,0.5380941268115382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2766669467950452608,358.398689724191,0.025445974,12.1041202111364,0.019642161,26.7919427492731,0.034995064,37.324654257374895,0.0487526670513711,GaiaE3,119.43743,44.1219300428421,0.039178256,-110.988988922354,0.022078822999999997,GaiaE3,1.520485,11.296652,0.00283,12.511248,0.00315,10.192287,0.00387,1.4009471000000002,,,,23533563+1206167,358.398471,12.104661,8.67,8.031,7.84,0.028999999999999998,0.024,0.031,AAA,,,,,,,,,,
